index_ra,field_ra,result
115.68168556700304,115.68185981518022,-0.00017424817717426322
120.20040777796684,120.20104539705916,-0.0006376190923162994
116.28890279633396,116.28818547765,0.0007173186839537493
114.7914788944463,114.7906223844014,0.0008565100448976182
117.9866722044318,117.98548851781938,0.0011836866124212975
114.97541055934695,114.97670638839274,-0.0012958290457874
123.42380277004486,123.4222384194934,0.0015643505514617573
112.98192471520564,112.98371226974828,-0.001787554542644898
116.87639999472432,116.87452767313373,0.0018723215905964707
115.58060083144294,115.57789242245376,0.002708408989178679
117.75987029355665,117.75710301880186,0.002767274754788218
123.28697418000758,123.28282413512764,0.004150044879935422
124.52759166396974,124.5319081593706,-0.004316495400857434
118.91626554838838,118.91177352556451,0.004492022823868069
109.37726277729064,109.37222700800636,0.0050357692842766255
116.5312113897374,116.5364184882809,-0.005207098543507982
121.94100666363111,121.93469010352533,0.0063165601057875165
115.82786668387926,115.82142200921764,0.006444674661622685
113.65100906851524,113.6575760937058,-0.006567025190562958
119.38603418846046,119.37923983701508,0.006794351445378766
109.51705693910114,109.52393763171204,-0.0068806926109061806
117.75085388353716,117.7432032803863,0.007650603150864299
113.78673444699513,113.79669783077031,-0.009963383775186685
124.72807639453389,124.73834131449046,-0.010264919956568974
107.78495889925216,107.7742220433286,0.01073685592355389
112.27756332978902,112.29093749891868,-0.01337416912966205
106.85367668515836,106.84003065282243,0.013646032335927316
107.84616250274792,107.85984762948031,-0.013685126732397634
121.03496220408874,121.0491326452634,-0.014170441174655934
113.63162084005124,113.64827176648576,-0.016650926434522262
125.01613082916708,125.0366441736368,-0.02051334446971964
121.57666305208907,121.5543977774518,0.022265274637277344
122.39662027969698,122.37370750347247,0.022912776224501386
108.98822915825389,109.01457589957604,-0.02634674132215764
108.26752057097656,108.24036994057576,0.027150630400797127
122.61343779295908,122.58248174777492,0.030956045184154846
122.5546430531386,122.52247710097777,0.032165952160838174
125.13395056136632,125.1684445610156,-0.034493999649285456
